ルート,ノード名,ノード名,距離,高速名,node1,node2
1,川口JCT,浦和IC,3.2,tohoku,1,2
2,浦和IC,浦和TB,1.8,tohoku,2,3
3,浦和TB,岩槻IC,5.5,tohoku,3,4
4,岩槻IC,蓮田SA/SIC,5.1,tohoku,4,5
5,蓮田SA/SIC,久喜白岡JCT,8.5,tohoku,5,6
6,久喜白岡JCT,久喜IC,1.4,tohoku,6,7
7,久喜IC,加須IC,7.9,tohoku,7,8
8,加須IC,羽生IC,6,tohoku,8,9
9,羽生IC,館林IC,6.6,tohoku,9,10
10,館林IC,佐野藤岡IC,9,tohoku,10,11
11,佐野藤岡IC,佐野SA/SIC,2.9,tohoku,11,12
12,佐野SA/SIC,岩舟JCT,3.9,tohoku,12,13
13,岩舟JCT,栃木IC,10.9,tohoku,13,14
14,栃木IC,栃木都賀JCT,2.7,tohoku,14,15
15,栃木都賀JCT,鹿沼IC,16.1,tohoku,15,16
16,鹿沼IC,大谷SIC（仮称）,6,tohoku,16,17
17,大谷SIC（仮称）,宇都宮IC,5.5,tohoku,17,18
18,宇都宮IC,上河内SA/SIC,7.9,tohoku,18,19
19,上河内SA/SIC,矢板IC,9.3,tohoku,19,20
20,矢板IC,西那須野塩原IC,18.9,tohoku,20,21
21,西那須野塩原IC,那須IC,13.4,tohoku,21,22
22,那須IC,那須高原SA/SIC,8,tohoku,22,23
23,那須高原SA/SIC,白河IC,9.2,tohoku,23,24
24,白河IC,白河中央SIC,6.4,tohoku,24,25
25,白河中央SIC,矢吹IC,10.2,tohoku,25,26
26,矢吹IC,須賀川IC,11.9,tohoku,26,27
27,須賀川IC,郡山南IC,9.5,tohoku,27,28
28,郡山南IC,郡山中央SIC,4.1,tohoku,28,29
29,郡山中央SIC,郡山IC,4.6,tohoku,29,30
30,郡山IC,郡山JCT,3.8,tohoku,30,31
31,郡山JCT,本宮IC,2.9,tohoku,31,32
32,本宮IC,安達太良SA,3.2,tohoku,32,33
33,安達太良SA,二本松IC,9.7,tohoku,33,34
34,二本松IC,福島西IC,18.9,tohoku,34,35
35,福島西IC,福島JCT,6.2,tohoku,35,36
36,福島JCT,福島飯坂IC,3.8,tohoku,36,37
37,福島飯坂IC,桑折JCT,4.5,tohoku,37,38
38,桑折JCT,国見IC,6.6,tohoku,38,39
39,国見IC,国見SA,5.9,tohoku,39,40
40,国見SA,白石IC,17.6,tohoku,40,41
41,白石IC,村田IC,12.3,tohoku,41,42
42,村田IC,村田JCT,2.7,tohoku,42,43
43,村田JCT,仙台南IC,12.3,tohoku,43,44
44,仙台南IC,仙台宮城IC,5.6,tohoku,44,45
45,仙台宮城IC,泉IC,13.7,tohoku,45,46
46,泉IC,富谷JCT,3.2,tohoku,46,47
47,富谷JCT,大和IC,7.8,tohoku,47,48
48,大和IC,大衡IC,3.2,tohoku,48,49
49,大衡IC,古川IC,14.8,tohoku,49,50
50,古川IC,長者原SA/SIC,5.9,tohoku,50,51
51,長者原SA/SIC,築館IC,10.2,tohoku,51,52
52,築館IC,若柳金成IC,11.8,tohoku,52,53
53,若柳金成IC,一関IC,17.3,tohoku,53,54
54,一関IC,平泉SIC,4.3,tohoku,54,55
55,平泉SIC,平泉前沢IC,7.2,tohoku,55,56
56,平泉前沢IC,前沢SA,5.7,tohoku,56,57
57,前沢SA,奥州SIC,5.2,tohoku,57,58
58,奥州SIC,水沢IC,6.6,tohoku,58,59
59,水沢IC,北上JCT,12.5,tohoku,59,60
60,北上JCT,北上江釣子IC,2.9,tohoku,60,61
61,北上江釣子IC,花巻南IC,9.8,tohoku,61,62
62,花巻南IC,花巻JCT,4.1,tohoku,62,63
63,花巻JCT,花巻IC,2.7,tohoku,63,64
64,花巻IC,紫波SA,7.9,tohoku,64,65
65,紫波SA,紫波IC,4.9,tohoku,65,66
66,紫波IC,盛岡南IC,11,tohoku,66,67
67,盛岡南IC,盛岡IC,7,tohoku,67,68
68,盛岡IC,滝沢中央SIC,4,tohoku,68,69
69,滝沢中央SIC,滝沢IC,6,tohoku,69,70
70,滝沢IC,西根IC,10.1,tohoku,70,71
71,西根IC,岩手山SA,5.1,tohoku,71,72
72,岩手山SA,松尾八幡平IC,4.4,tohoku,72,73
73,松尾八幡平IC,安代JCT,21.6,tohoku,73,74
74,安代JCT,安代IC,1.3,tohoku,74,75
75,安代IC,鹿角八幡平IC,26.1,tohoku,75,76
76,鹿角八幡平IC,花輪SA,3,tohoku,76,77
77,花輪SA,十和田IC,8.9,tohoku,77,78
78,十和田IC,小坂IC,8.1,tohoku,78,79
79,小坂IC,小坂JCT,6.3,tohoku,79,80
80,小坂JCT,碇ヶ関IC,13.7,tohoku,80,81
81,碇ヶ関IC,大鰐弘前IC,13,tohoku,81,82
82,大鰐弘前IC,津軽SA,2.8,tohoku,82,83
83,津軽SA,黒石IC,7.1,tohoku,83,84
84,黒石IC,浪岡IC/JCT,14,tohoku,84,85
85,浪岡IC/JCT,青森JCT,9.8,tohoku,85,86
86,青森JCT,青森IC,2.1,tohoku,86,87
